Name	Unique ID	Unique ID 2	Tier 1	Tier 2	Tier 3	Name
Prayer and Mindfullness Applications	1489	453	Religion and Spirituality	Prayer and Mindfullness Applications		Religion & Spirituality
Prayer and worship services	1490	453	Religion and Spirituality	Prayer and Worship Services		Religion & Spirituality
Religious causes	1491	453	Religion and Spirituality	Religious Causes		Religion & Spirituality
Religious charities	1492	453	Religion and Spirituality	Religious Charities		Religion & Spirituality
Religious organizaitions	1493	453	Religion and Spirituality	Religious Organizaitions		Religion & Spirituality
Retail	1494	114	Retail			Retail Insustry
Arts and Crafts Supplies	1495	248	Retail	Arts and Crafts Supplies		Arts and Crafts
Cell Phone Stores	1496	635	Retail	Cell Phone Stores		Smartphones
Clothing Stores	1497	552	Retail	Clothing Stores		Style & Fashion
Department Stores	1498	552	Retail	Department Stores		Style & Fashion
eCommerce	1499	473	Retail	eCommerce		Shopping
Factory Outlet Stores	1500	473	Retail	Factory Outlet Stores		Shopping
Grocery Stores and Supermarkets	1501	210	Retail	Grocery Stores and Supermarkets		Food & Drink
Hardware Stores	1502	274	Retail	Hardware Stores		Home & Garden
Musical Instruments and Record Stores	1503	338	Retail	Musical Instruments and Record Stores		Music and Audio
Pawn Shops	1504	239	Retail	Pawn Shops		Hobbies & Interests
Pet and Pet Supply Stores	1505	422	Retail	Pet and Pet Supply Stores		Pets
Shopping Malls	1506	473	Retail	Shopping Malls		Shopping
Specialty Stores	1507	473	Retail	Specialty Stores		Shopping
Sporting Goods Stores	1508	483	Retail	Sporting Goods Stores		Sports
Ticket Services	1509	150	Retail	Ticket Services		Events and Attractions
Fitness Activities	1510	225	Fitness Activities			Fitness and Exercise
Dance Studios	1511	225	Fitness Activities	Dance Studios		Fitness and Exercise
Gyms and Health Clubs	1512	225	Fitness Activities	Gyms and Health Clubs		Fitness and Exercise
Participant Sports Leagues	1513	225	Fitness Activities	Participant Sports Leagues		Fitness and Exercise
Personal Trainers	1514	225	Fitness Activities	Personal Trainers		Fitness and Exercise
Self Defense and Martial Arts Classes	1515	225	Fitness Activities	Self Defense and Martial Arts Classes		Fitness and Exercise
Swimming Facilities	1516	225	Fitness Activities	Swimming Facilities		Fitness and Exercise
Workout and Step Tracking Applications	1517	225	Fitness Activities	Workout and Step Tracking Applications		Fitness and Exercise
Yoga Studios	1518	225	Fitness Activities	Yoga Studios		Fitness and Exercise
Sexual Health	1519	307	Sexual Health			Sexual Health
Contraceptives	1520	307	Sexual Health	Contraceptives		Sexual Health
Doctor Perscribed Medicines	1521	307	Sexual Health	Doctor Perscribed Medicines		Sexual Health
Fertility Tracking Applications	1522	307	Sexual Health	Fertility Tracking Applications		Sexual Health
Non-perscribed Performance Enhancers	1523	307	Sexual Health	Non-Perscribed Performance Enhancers		Sexual Health
Sporting Goods	1524	483	Sporting Goods			Sports
Athletics Equipment	1525	483	Sporting Goods	Athletics Equipment		Sports
Exercise and Fitness Equipment	1526	483	Sporting Goods	Exercise and Fitness Equipment		Sports
Indoor Games Equipment	1527	483	Sporting Goods	Indoor Games Equipment		Sports
Outdoor Recreation Equipment	1528	483	Sporting Goods	Outdoor Recreation Equipment		Sports
Travel and Tourism	1529	653	Travel and Tourism			Travel
Accomodations	1530	653	Travel and Tourism	Accomodations		Travel
Bed and Breakfasts	1531	674	Travel and Tourism	Accomodations	Bed and Breakfasts	Bed & Breakfast
Camping and Camp Grounds	1532	677	Travel and Tourism	Accomodations	Camping and Camp Grounds	Camping
Hotels and Resorts	1533	668	Travel and Tourism	Accomodations	Hotels and Resorts	Hotels and Motels
Motels	1534	668	Travel and Tourism	Accomodations	Motels	Hotels and Motels
Timeshares	1535	653	Travel and Tourism	Accomodations	Timeshares	Travel
Vacation Rentals	1536	653	Travel and Tourism	Accomodations	Vacation Rentals	Travel
Air Travel	1537	672	Travel and Tourism	Air Travel		Air Travel
Cruises	1538	678	Travel and Tourism	Cruises		Cruises
Rail Travel	1539	669	Travel and Tourism	Rail Travel		Rail Travel
Sightseeing Tours and Activities	1540	653	Travel and Tourism	Sightseeing Tours and Activities		TRavel
Travel Agents and Online Travel Services	1541	653	Travel and Tourism	Travel Agents and Online Travel Services		TRavel
Travel Packages	1542	653	Travel and Tourism	Travel Packages		TRavel
Travel Planning and Itinerary Management Applications	1543	653	Travel and Tourism	Travel Planning and Itinerary Management Applications		TRavel
Tobacco	1544	v9i3On	Tobacco			Sensitive Topics
Cigars	1545	260	Tobacco	Cigars		Cigars
Cigarettes	1546	v9i3On	Tobacco	Cigarettes		Sensitive Topics
Smokeless Tobacco	1547	v9i3On	Tobacco	Smokeless Tobacco		Sensitive Topics
Vaping	1548	v9i3On	Tobacco	Vaping		Sensitive Topics
Vaping Cartridges	1549	v9i3On	Tobacco	Vaping Cartridges		Sensitive Topics
Vaporizors	1550	v9i3On	Tobacco	Vaporizors		Sensitive Topics
Vehicles	1551	1	Vehicles			Automotive
Automotive Leasing	1552	1	Vehicles	Automotive Leasing		Automotive
Automotive Ownership	1553	1	Vehicles	Automotive Ownership		Automotive
New vehicle Ownership	1554	1	Vehicles	Automotive Ownership	New Vehicle Ownership	Automotive
Pre-owned Automotive Ownership	1555	1	Vehicles	Automotive Ownership	Pre-owned Automotive Ownership	Automotive
Automotive Products	1556	32	Vehicles	Automotive Products		Auto Parts
Automotive Care Products	1557	32	Vehicles	Automotive Products	Automotive Care Products	Auto Parts
Automotive Parts and Accessories	1558	32	Vehicles	Automotive Products	Automotive Parts and Accessories	Auto Parts
Aftermarket Parts and Accessories	1559	32	Vehicles	Automotive Products	Aftermarket Parts and Accessories	Auto Parts
Automotive Services	1560	1	Vehicles	Automotive Services		Automotive
Auto Towing	1561	1	Vehicles	Automotive Services	Auto Towing	Automotive
Auto Repair	1562	1	Vehicles	Automotive Services	Auto Repair	Automotive
Car Wash	1563	1	Vehicles	Automotive Services	Car Wash	Automotive
Automotive Sales Applications	1564	1	Vehicles	Automotive Sales Applications		Automotive
Ride-sharing Services	1565	1	Vehicles	Ride-sharing Services		Automotive
Taxi Services	1566	1	Vehicles	Taxi Services		Automotive
Vehicle Rental	1567	1	Vehicles	Vehicle Rental		Automotive
Vehicle Type	1568	1	Vehicles	Vehicle Type		Automotive
Boats	1569	1	Vehicles	Vehicle Type	Boats	Automotive
Diesel Vehicles	1570	1	Vehicles	Vehicle Type	Diesel Vehicles	Automotive
Electric Vehicles	1571	1	Vehicles	Vehicle Type	Electric Vehicles	Automotive
Gas Vehicles	1572	1	Vehicles	Vehicle Type	Gas Vehicles	Automotive
Hybrid Vehicles	1573	1	Vehicles	Vehicle Type	Hybrid Vehicles	Automotive
Recreational Vehicles	1574	1	Vehicles	Vehicle Type	Recreational Vehicles	Automotive
Scooters, Motorbikes, and E-bikes	1575	29	Vehicles	Vehicle Type	Scooters, Motorbikes, and E-bikes	Scooters
Weapons and Ammunition	1576	v9i3On	Weapons and Ammunition			Sensitive Topics
Ammunition	1577	v9i3On	Weapons and Ammunition	Ammunition		Sensitive Topics
Guns	1578	v9i3On	Weapons and Ammunition	Guns		Sensitive Topics
Gun Accessories	1579	v9i3On	Weapons and Ammunition	Gun Accessories		Sensitive Topics
Gun Shows and Auctions	1580	v9i3On	Weapons and Ammunition	Gun Shows and Auctions		Sensitive Topics
Non-Projectile Weapons	1581	v9i3On	Weapons and Ammunition	Non-Projectile Weapons		Sensitive Topics
	NULL	NULL	NULL	NULL	NULL	NULL
Taster and Stun Guns	1582	v9i3On	Weapons and Ammunition	Taster and Stun Guns		Sensitive Topics
